"Timestamp","Are you planning to cast your vote in the presidential election 2019?","In your opinion, which party is more likely to win this presidential election?","As of now to whom you will cast your vote in the presidential election? ","Are you influenced by the public opinion regarding the presidential candidates","What is the main electoral issue you have considered when you are deciding to whom is your vote is?","Is this the first presidential election you are going to cast your vote?","If No, would you like to share about to whom you voted in the last election?","If yes to whom you have voted?","Gender","How old are you?","Which religion do you follow?","Your ethnicity?","What is the highest educational qualification you have obtained?","District","Electoral Division","What is your current employment status?","Monthly Income (Individual )","How do you feel  about this survey",""
"2019/10/29 9:33:23 AM GMT+5:30","No","Sri Lanka Podujana Peramuna(SLPP)","No Answer","No","National Security;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Freedom","No","Yes","Maithripala Sirisena","Female","28","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","Chavakachcheri","Private sector employee","100000-200000 LKR","Good",""
"2019/10/29 9:43:21 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No Idea","National Security;Development Of the Country","No","Yes","Mahinda Rajapaksa","Female","24","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kandy","kandy","Private sector employee","50000-99999 LKR","Good",""
"2019/10/29 9:48:54 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","Yes","Mahinda Rajapaksa","Male","25","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Gampaha","Kelaniya","Private sector employee","5000 -14999 LKR","Good",""
"2019/10/29 11:17:47 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","Yes","Mahinda Rajapaksa","Female","27","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kandy","Kundasale","Private sector employee","50000-99999 LKR","Good",""
"2019/10/29 12:07:59 PM GMT+5:30","No","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No Idea","National Security","No","Yes","Mahinda Rajapaksa","Male","26","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Colombo","Homagama ","Private sector employee","30000-49999 LKR","Good",""
"2019/10/29 1:05:31 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities;Religious issues;Foreign intervention","No","Yes","Mahinda Rajapaksa","Female","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Gampaha","Aththanagalla","Private sector employee","100000-200000 LKR","Good",""
"2019/10/29 3:54:28 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","Freedom","No","No","Not Applicable","Male","25","Buddhism","Sinhala","Vocational Education","Kegalle","RUWANWELLA ","Government employee","30000-49999 LKR","Good",""
"2019/10/29 3:57:39 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","Freedom","Yes","Not Applicable","Not Applicable","Female","23","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Rathnapura","Kuruwita","Private sector employee","30000-49999 LKR","Good",""
"2019/10/29 5:20:42 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","","No","Yes","Maithripala Sirisena","Female","27","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Rathnapura","Ratnapura","Government employee","Don't like to Share","Good",""
"2019/10/29 6:30:03 PM GMT+5:30","Yes","Sri Lanka Freedom Party(SLFP)","Gotabhaya Rajapaksa (SLPP)","No Idea","National Security","No","Yes","Maithripala Sirisena","Male","27","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Rathnapura","Ratnapura","Private sector employee","Don't like to Share","Good",""
"2019/10/29 9:57:52 PM GMT+5:30","Yes","The National People's Power (NPP)","Anura Kumara Dissanayake (NPP)","No","Development Of the Country;Employment Opportunities;Cost of Living;Religious issues;Economic freedom;Pollution;Freedom","No","Yes","Maithripala Sirisena","Female","26","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Badulla","Bandarawela","Private sector employee","50000-99999 LKR","Good",""
"2019/10/29 10:12:44 PM GMT+5:30","Yes","No Answer","Unknown","Yes","National Security;Development Of the Country;Cost of Living","No","Yes","Maithripala Sirisena","Female","37","Buddhism","Sinhala","G.C.E Advance Level","Gampaha","Kaduwela","Housewife","No Income","Good",""
"2019/10/29 10:36:50 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Religious issues;Freedom","No","Yes","Maithripala Sirisena","Female","26","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Galle","Maha Ambalangoda","Private sector employee","30000-49999 LKR","Good",""
"2019/10/29 10:47:00 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","Freedom","Yes","Yes","Maithripala Sirisena","Male","29","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Vavuniya","Vanni","Self-employed/Business","100000-200000 LKR","Annoyed",""
"2019/10/29 10:48:17 PM GMT+5:30","Yes","United National Party (UNP)","To another candidate","No","Development Of the Country","No","No","Not Applicable","Female","26","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Colombo","Jaffna","Private sector employee","50000-99999 LKR","Good",""
"2019/10/29 10:57:25 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Freedom","No","Yes","Maithripala Sirisena","Female","27","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","","Private sector employee","15000-29900 LKR","Good",""
"2019/10/29 11:05:08 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living","No","Yes","Mahinda Rajapaksa","Female","29","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","Jaffna","Private sector employee","50000-99999 LKR","Good",""
"2019/10/29 11:06:55 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Ethnic issues;Religious issues;Freedom","No","Yes","Maithripala Sirisena","Male","63","Christianity","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Jaffna","Unemployed","No Income","Good",""
"2019/10/29 11:10:43 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Ethnic issues;Religious issues;Freedom","","Yes","Maithripala Sirisena","Male","51","Christianity","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Jaffna","Government employee","15000-29900 LKR","Good",""
"2019/10/29 11:11:58 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","Ethnic issues;Religious issues;Freedom","No","Yes","Maithripala Sirisena","Female","45","Christianity","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Jaffna","Housewife","No Income","Good",""
"2019/10/29 11:13:25 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country","No","Yes","Maithripala Sirisena","Male","37","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Gampaha","Wattala","Private sector employee","Above 200000 LKR","Good",""
"2019/10/29 11:14:45 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","National Security;Development Of the Country;Employment Opportunities","No","Yes","Maithripala Sirisena","Female","35","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Gampaha","Wattala","Housewife","5000 -14999 LKR","Good",""
"2019/10/29 11:16:08 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Sajith Premadasa (UNP)","Yes","Ethnic issues;Religious issues;Economic freedom;Freedom","No","Yes","Maithripala Sirisena","Female","55","Christianity","Sri Lankan Tamil","G.C.E Ordinary Level","Gampaha","Wattala","Self-employed/Business","15000-29900 LKR","Good",""
"2019/10/29 11:18:07 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Sajith Premadasa (UNP)","No","Ethnic issues;Religious issues;Freedom","No","Yes","Maithripala Sirisena","Male","70","Christianity","Sri Lankan Tamil","Secondary Education (Grade 6 to 9 )","Gampaha","Wattala","Unemployed","No Income","Good",""
"2019/10/29 11:19:44 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Economic freedom","No","Yes","Maithripala Sirisena","Female","42","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","Jaffna","Government employee","50000-99999 LKR","Good",""
"2019/10/29 11:21:08 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","Cost of Living;Ethnic issues;Religious issues;Economic freedom;Freedom","No","Yes","Maithripala Sirisena","Female","73","Christianity","Sri Lankan Tamil","G.C.E Ordinary Level","Jaffna","Jaffna","Housewife","30000-49999 LKR","Good",""
"2019/10/29 11:22:55 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Freedom","No","Yes","Maithripala Sirisena","Male","49","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","Jaffna","Government employee","15000-29900 LKR","Good",""
"2019/10/29 11:24:21 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Freedom","Yes","Not Applicable","Not Applicable","Male","20","Christianity","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Jaffna","Student","No Income","Good",""
"2019/10/29 11:35:42 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","Development Of the Country","No","Yes","Mahinda Rajapaksa","Male","27","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Hambantota","Kattakaduva ,south.","Private sector employee","30000-49999 LKR","Good",""
"2019/10/30 12:21:38 AM GMT+5:30","Yes","United National Party (UNP)","To another candidate","No","Development Of the Country","No","No","Not Applicable","Female","25","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Galle","","Student","No Income","Good",""
"2019/10/30 12:28:50 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Development Of the Country;Ethnic issues;Religious issues;Freedom","No","Yes","Maithripala Sirisena","Male","89","Christianity","Sri Lankan Tamil","G.C.E Ordinary Level","Kilinochchi","Kiĺinochchi","Unemployed","No Income","Good",""
"2019/10/30 1:09:55 AM GMT+5:30","No","No Answer","Unknown","No","National Security;Development Of the Country;Employment Opportunities;Religious issues;Economic freedom;Pollution","No","No","Not Applicable","Female","29","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kalutara","Kalutara","Private sector employee","30000-49999 LKR","Good",""
"2019/10/30 5:45:47 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No Idea","Development Of the Country","Yes","No","Mahinda Rajapaksa","Female","22","Christianity","Sinhala","Graduate/Postgraduate / Professional","Kalutara","Beruwala ","Government employee","Don't like to Share","Good",""
"2019/10/30 5:53:19 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gen. Mahesh Senanayake","Yes","National Security;Development Of the Country;Ethnic issues;Pollution;Freedom","No","Yes","Maithripala Sirisena","Female","25","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Gampaha","Minuwangoda","Private sector employee","30000-49999 LKR","Annoyed",""
"2019/10/30 5:57:27 AM GMT+5:30","","","","","","","","","","","","","","","","","","",""
"2019/10/30 8:01:33 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Sajith Premadasa (UNP)","No Idea","National Security;Development Of the Country;Ethnic issues;Religious issues","No","Yes","Maithripala Sirisena","Male","26","Islam","Muslim","Graduate/Postgraduate / Professional","Matara","Weligama","Private sector employee","30000-49999 LKR","Good",""
"2019/10/30 8:31:26 AM GMT+5:30","Yes","No Answer","Unknown","No Idea","Development Of the Country;Economic freedom","No","Not Applicable","Not Applicable","Female","28","Hinduism","Sri Lankan Tamil","Do not want to share","","Jaffna","Private sector employee","Don't like to Share","Good",""
"2019/10/30 8:41:35 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No Idea","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","Yes","Maithripala Sirisena","Female","26","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Galle","","Private sector employee","15000-29900 LKR","Good",""
"2019/10/30 8:46:16 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","National Security;Cost of Living;Religious issues;Pollution","Yes","Yes","Maithripala Sirisena","Female","87","Hinduism","Indian Tamil","Nil","Jaffna","Jaffna","Unemployed","No Income","Annoyed",""
"2019/10/30 8:47:40 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Foreign intervention;Economic freedom;Freedom","No","Yes","Maithripala Sirisena","Female","23","Hinduism","Indian Tamil","Graduate/Postgraduate / Professional","Colombo","Negombo ","Private sector employee","30000-49999 LKR","Good",""
"2019/10/30 8:53:54 AM GMT+5:30","Yes","United National Party (UNP)","Gotabhaya Rajapaksa (SLPP)","No Idea","National Security;Cost of Living","Yes","Not Applicable","Maithripala Sirisena","Female","100","Islam","Sri Lankan Tamil","Nil","Vavuniya","Vavuniya","Unemployed","Above 200000 LKR","Who is the idiot that create this kind of dumb survey ",""
"2019/10/30 8:55:35 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","National Security;Development Of the Country;Cost of Living;Foreign intervention;Economic freedom","No","Yes","Maithripala Sirisena","Male","27","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","Kopay","Private sector employee","50000-99999 LKR","Good",""
"2019/10/30 8:56:28 AM GMT+5:30","Yes","The National People's Power (NPP)","Sajith Premadasa (UNP)","Yes","Cost of Living;Sa.....jith sa....jith","No","Not Applicable","Mahinda Rajapaksa","Male","10000000","Buddhism","Muslim","Nil","Gampaha","4848493939","Self-employed/Business","No Income","සා.....ජිත් සා.....ජිත් බක බක සා....ජිත්",""
"2019/10/30 8:59:51 AM GMT+5:30","Yes","","Sajith Premadasa (UNP)","No","Development Of the Country;Freedom","No","Yes","Maithripala Sirisena","Female","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Colombo","","Private sector employee","50000-99999 LKR","Good",""
"2019/10/30 9:54:50 AM GMT+5:30","No","United National Party (UNP)","Sajith Premadasa (UNP)","No","Freedom","No","Not Applicable","Not Applicable","Male","53","Hinduism","Sri Lankan Tamil","G.C.E Ordinary Level","Colombo","Kotahena","No answer","Don't like to Share","Good",""
"2019/10/30 10:12:04 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Sajith Premadasa (UNP)","No Idea","Religious issues;Foreign intervention;Freedom","No","No","Maithripala Sirisena","Male","23","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","","","Private sector employee","Don't like to Share","Annoyed",""
"2019/10/30 10:38:23 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Unknown","Yes","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","No","Not Applicable","Male","26","Other","Other","Graduate/Postgraduate / Professional","Ampara","Kalmuna","Private sector employee","Don't like to Share","Good",""
"2019/10/30 11:16:55 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","National Security;Development Of the Country","No","Not Applicable","Not Applicable","Female","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Rathnapura","Atakalampanna","Private sector employee","30000-49999 LKR","Good",""
"2019/10/30 3:15:57 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No Idea","","No","Yes","Maithripala Sirisena","Female","48","Christianity","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Kopay","Government employee","30000-49999 LKR","Good",""
"2019/10/30 3:16:14 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No Idea","","No","Yes","Maithripala Sirisena","Female","48","Christianity","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Kopay","Government employee","30000-49999 LKR","Good",""
"2019/10/30 3:17:44 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","Cost of Living","No","Yes","Maithripala Sirisena","Male","26","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","Jaffna ","Private sector employee","30000-49999 LKR","Good",""
"2019/10/30 3:20:08 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No Idea","Employment Opportunities","No","Yes","Maithripala Sirisena","Male","24","Hinduism","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Kopay","Government employee","5000 -14999 LKR","Good",""
"2019/10/30 3:20:22 PM GMT+5:30","No","No Answer","No Answer","No","National Security;Development Of the Country;Cost of Living;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","No","Not Applicable","Female","26","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Matara","","Private sector employee","50000-99999 LKR","Annoyed",""
"2019/10/30 3:21:49 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No Idea","Employment Opportunities","No","Yes","Maithripala Sirisena","Male","3","","","","","27","Government employee","15000-29900 LKR","Good",""
"2019/10/30 3:23:41 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Employment Opportunities","Yes","No","Not Applicable","Female","22","Hinduism","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","","Student","No Income","Good",""
"2019/10/30 3:26:12 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No Idea","Employment Opportunities","No","Yes","Maithripala Sirisena","Male","34","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","Karaveddy","Government employee","30000-49999 LKR","Good",""
"2019/10/30 3:31:52 PM GMT+5:30","Yes","No Answer","No Answer","No Idea","National Security;Development Of the Country;Employment Opportunities;Cost of Living","No","Not Applicable","Not Applicable","Female","25","Christianity","Sinhala","Graduate/Postgraduate / Professional","Gampaha","","Private sector employee","Don't like to Share","",""
"2019/10/30 3:44:01 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","National Security;Development Of the Country;Employment Opportunities;Foreign intervention;Economic freedom","No","Yes","Mahinda Rajapaksa","Male","29","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kalutara","Kalutara","Private sector employee","50000-99999 LKR","Good",""
"2019/10/30 3:48:06 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","National Security;Foreign intervention","No","Yes","Maithripala Sirisena","Female","29","Hinduism","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Kopay","Government employee","30000-49999 LKR","Good",""
"2019/10/30 3:49:47 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","National Security;Religious issues","Yes","Yes","Mahinda Rajapaksa","Male","33","Hinduism","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Kopay","Government employee","30000-49999 LKR","Good",""
"2019/10/30 3:51:27 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country","No","Yes","Mahinda Rajapaksa","Male","62","Buddhism","Sinhala","G.C.E Advance Level","Colombo","Kotte","No answer","100000-200000 LKR","Good",""
"2019/10/30 3:56:12 PM GMT+5:30","No Answer","No Answer","No Answer","No Idea","","No","Not Applicable","Not Applicable","Female","53","Hinduism","Sri Lankan Tamil","G.C.E Ordinary Level","Jaffna","Kopay","No answer","15000-29900 LKR","Annoyed",""
"2019/10/30 3:59:12 PM GMT+5:30","Yes","United National Party (UNP)","Unknown","Yes","National Security","No","Yes","Other","Female","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Colombo","Maharagama","Private sector employee","30000-49999 LKR","Good",""
"2019/10/30 3:59:18 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","Employment Opportunities;Ethnic issues","Yes","Yes","Maithripala Sirisena","Female","28","Hinduism","Sri Lankan Tamil","G.C.E Ordinary Level","Jaffna","Manipay","Government employee","5000 -14999 LKR","Good",""
"2019/10/30 4:01:07 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","Development Of the Country;Employment Opportunities","Yes","Yes","Mahinda Rajapaksa","Male","24","Hinduism","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Manipay","Student","5000 -14999 LKR","Good",""
"2019/10/30 4:02:46 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Cost of Living","No","No","Not Applicable","Female","25","Hinduism","Sri Lankan Tamil","No Answer","","Dehiwela","Unemployed","50000-99999 LKR","Good",""
"2019/10/30 4:03:14 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","National Security","No","Yes","Mahinda Rajapaksa","Male","31","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kalutara","Panadura","Private sector employee","50000-99999 LKR","Annoyed",""
"2019/10/30 4:03:21 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Cost of Living","No","Yes","Maithripala Sirisena","Male","25","Christianity","Sinhala","Graduate/Postgraduate / Professional","Gampaha","","Private sector employee","30000-49999 LKR","Good",""
"2019/10/30 4:11:08 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","National Security;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Economic freedom;Freedom","No","Yes","Maithripala Sirisena","Male","26","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","Jaffna","Private sector employee","100000-200000 LKR","Good",""
"2019/10/30 4:23:25 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country","Yes","Not Applicable","Mahinda Rajapaksa","Female","65","Buddhism","Sinhala","Secondary Education (Grade 6 to 9 )","Colombo","Kotte","Housewife","50000-99999 LKR","Good",""
"2019/10/30 4:39:07 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","No Answer","No","Freedom","No","Not Applicable","Not Applicable","Female","27","","Sinhala","Graduate/Postgraduate / Professional","Matara","Thihagoda","Private sector employee","50000-99999 LKR","Good",""
"2019/10/30 6:42:09 PM GMT+5:30","Yes","No Answer","Sajith Premadasa (UNP)","No Idea","Freedom","No","Not Applicable","Other","Male","31","Christianity","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Jaffna","Private sector employee","30000-49999 LKR","Annoyed",""
"2019/10/30 8:19:30 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","Yes","Mahinda Rajapaksa","Male","25","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Matara","Weligama","Self-employed/Business","50000-99999 LKR","Good",""
"2019/10/30 8:28:16 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Religious issues;Economic freedom","No","Yes","Maithripala Sirisena","Male","25","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","","Private sector employee","30000-49999 LKR","Good",""
"2019/10/30 9:28:53 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","National Security","No","Yes","Maithripala Sirisena","Male","27","Hinduism","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Chankanai","","30000-49999 LKR","Annoyed",""
"2019/10/30 10:31:18 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Anura Kumara Dissanayake (NPP)","No Idea","Cost of Living","No","Yes","Maithripala Sirisena","Male","28","Hinduism","Sri Lankan Tamil","G.C.E Advance Level","Vavuniya","Vanni","Private sector employee","30000-49999 LKR","Good",""
"2019/10/30 10:54:09 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","National Security;Development Of the Country","No","Yes","Mahinda Rajapaksa","Male","28","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Vavuniya","","Private sector employee","50000-99999 LKR","Good",""
"2019/10/30 10:54:29 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","National Security;Development Of the Country","No","Yes","Mahinda Rajapaksa","Male","28","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Vavuniya","","Private sector employee","50000-99999 LKR","Good",""
"2019/10/30 11:22:48 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","Freedom","Yes","Yes","Maithripala Sirisena","Male","28","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Vavuniya","","Self-employed/Business","Don't like to Share","Good",""
"2019/10/30 11:40:20 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","National Security;Development Of the Country;Cost of Living","No","No","Not Applicable","Male","29","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Vavuniya","Vavjuniya","Private sector employee","30000-49999 LKR","Annoyed",""
"2019/10/30 11:56:56 PM GMT+5:30","Yes","The National People's Power (NPP)","Anura Kumara Dissanayake (NPP)","Yes","Development Of the Country;Ethnic issues;Religious issues","Yes","Yes","Maithripala Sirisena","Male","25","Hinduism","Sri Lankan Tamil","Do not want to share","Mulativu","Puthukkudiyiruppu","Private sector employee","50000-99999 LKR","Good",""
"2019/10/30 11:57:18 PM GMT+5:30","Yes","The National People's Power (NPP)","Anura Kumara Dissanayake (NPP)","Yes","Development Of the Country;Ethnic issues;Religious issues","Yes","Yes","Maithripala Sirisena","Male","25","Hinduism","Sri Lankan Tamil","Do not want to share","Mulativu","Puthukkudiyiruppu","Private sector employee","50000-99999 LKR","Good",""
"2019/10/31 12:54:57 AM GMT+5:30","No Answer","United National Party (UNP)","No Answer","No Idea","Development Of the Country","Yes","Not Applicable","Not Applicable","Male","28","Hinduism","Sri Lankan Tamil","G.C.E Advance Level","Vavuniya","Vavuniya south","Private sector employee","50000-99999 LKR","Good",""
